知识类型,描述,来源,标签,质量
数值,【肉鸽伤害公式与数值膨胀模型】肉鸽伤害体系两大流派：(1)加法叠加型——基础伤害+Buff加成，膨胀可控但Build上限低，适用于动作肉鸽(Hades/暖雪)；(2)乘法叠加型——多乘区相乘，膨胀指数级但Build上限极高，适用于卡牌肉鸽(杀戮尖塔)。杀戮尖塔卡牌价值锚点：1点能量≈6点伤害(基准换算)，格挡略低于伤害(无法击杀)，易伤/虚弱价值翻倍(放大整体收益)，能量获取溢价极高(最稀缺资源)，抽牌/过牌价值最高(选择权)。能力牌平均价值>攻击牌——新手抓攻击牌，老手优先能力牌和过牌组件。Hades boon稀有度乘数：Common=base(+50%)/Rare=base×1.3~1.5/Epic=base×1.8~2.0/Heroic=base×2.3~2.5，Duo boon需前置条件矩阵。,spireofchaos.com杀戮尖塔深度解析+hades_json_data boon配表,"伤害公式,卡牌价值模型,乘法膨胀,boon稀有度,能量经济",深度
数值,【肉鸽随机性控制与伪随机设计】肉鸽三层随机性：(1)战斗层——敌人AI行为/暴击/闪避采用PRD伪随机；(2)Build层——卡牌/祝福/遗物掉落采用加权随机池+保底机制；(3)地图层——房间布局采用程序化生成+约束条件。随机性服务于决策原则：所有随机性最终必须转化为玩家选择——杀戮尖塔敌人意图可见(明牌解残局)、每次奖励提供3选1、地图路径多选。掉落概率设计(Roguelike品类参考)：Common=60%/Uncommon=25%/Rare=10%/Epic=4%/Legendary=1%，保底计数器20次必出Rare。收敛随机性三种方法：pick/ban(杀戮尖塔移除卡)、局外解锁限定池(暖雪技能树)、商店定向购买(用金币降低随机性)。,机核肉鸽设计方法论+fcsouza_procedural-gen掉落表,"随机性控制,伪随机,掉落概率,保底机制,收敛随机性",深度
数值,【肉鸽构筑(Build)系统数值设计】构筑系统五步设计法：Step1设计理想通关路线→Step2拆分核心元素(攻击力/攻击方式/防御/特效/资源)→Step3设计完美加成→Step4确定单局可获加成数量(由游戏时长决定)→Step5引入偏差创造策略深度。加成偏差三种类型：高数值型(道中舒服但无协同)/高协同型(协同强但单体弱)/超模+负面型(超强但有代价)。加成评分公式：S=(E+C+T)+w₁R+w₂I-w₃K，E=基础效果/C=协同效果/T=主题匹配度/R=风险回报/I=互动性/K=成本。动态权重按阶段调整：初期w₁=1.3/w₂=1.2/w₃=1.7(成本敏感)→中期1.7/1.5/1.4→后期2.2/2.0/1.1(高风险高回报为主)。不同稀有度对应不同评分区间，防止运气好导致难度崩溃。,机核肉鸽设计方法论(gcores.com/articles/189926),"构筑系统,Build设计,加成评分公式,偏差设计,稀有度区间",深度
数值,【肉鸽资源双循环系统——局内与局外经济】局内经济设计：金币(杀戮尖塔)/金币+信物(Hades)/金币+钥匙(以撒)，不独立存在，通过商店与角色属性/构筑系统转换，作用=降低成长随机性+辅助资源管理决策。局外经济三种方向：(1)局外养成——送礼推进剧情/装饰个性化(Hades蜜露好感度)；(2)技能树/解锁——重复游玩积累解锁新武器/技能(暖雪技能树/图鉴)；(3)收敛随机性——增加特定加成出现概率引导Build方向。血量作为核心资源：直接关系生存，与其他资源挂钩(杀戮尖塔卖血换遗物/Hades血瓶换金币)，鼓励风险决策。局内外资源平衡原则：每次游玩都有收获但不会过于轻松获取，失败也有意义(Meta进度/解锁)。,机核肉鸽设计方法论+Hades/杀戮尖塔产品分析,"局内经济,局外经济,双循环,血量资源,金币系统,Meta进度",深度
数值,【肉鸽难度曲线与三阶段设计】三阶段难度模型：第一阶段(Act1)难度低——初始装备可通关+Boss较强(达到Act2水平)，目标帮助熟悉机制给予成就感；第二阶段(Act2)难度中——需要加成协同才能通过+Boss需Build初具雏形；第三阶段(Act3)难度高——成熟Build才能坚持+Boss需全程正确决策。老玩家对Act1厌倦的解决方案：缩短流程(暖雪全流程1/10时间)/非对称目标(杀戮尖塔高难路线)/动态调整/剧情转移。怪物难度膨胀公式：EnemyHP=BaseHP×DifficultyScale^Floor，推荐DifficultyScale=1.08~1.15/层。Boss设计原则：每个Boss对应一种构筑检验(AOE检验群攻/高防检验穿透/回血检验爆发)。Ascension(登塔)系统：20级逐步增加限制(A1减少回血/A5增加精英/A10减少药水...)，延长重玩寿命。,spireofchaos.com+机核肉鸽方法论+杀戮尖塔Ascension系统,"难度曲线,三阶段,Ascension,Boss设计,难度膨胀公式",深度
数值,【肉鸽卡牌/祝福分类与稀有度体系】杀戮尖塔卡牌体系：4角色×3稀有度(Common/Uncommon/Rare)+诅咒卡+状态卡=361张。每角色约75~80张独立卡牌，按功能分：攻击(红)/技能(绿)/能力(蓝)。升级系统：每张卡可升级一次(火堆/事件)，升级后数值提升约30~50%。卡组管理：初始10~12张，理想卡组15~25张，过多导致关键牌抽不到(deck dilution)。Hades boon体系：10+神各自一套boon池(attack/special/cast/dash/aid)+Duo boon(两神组合，需前置)，稀有度4级(Common/Rare/Epic/Heroic)。星铁模拟宇宙祝福体系：按星神(命途)分组，每组10~20个祝福×3等级(普通/稀有/传奇)，祝福间有强化关系(2+3触发共鸣)。,spire-archive数据库(361卡/181遗物)+hades_json_data+StarRailData RogueBuff,"卡牌体系,祝福系统,稀有度,卡组管理,boon,星神命途",深度
数值,【肉鸽遗物/奇物系统设计】遗物是肉鸽Build的核心变量——杀戮尖塔181个遗物分4级：Starter(角色专属1个)/Common(击败普通精英获得)/Uncommon(中级精英)/Rare(高级精英)+Boss遗物(每Boss后3选1)+Shop遗物(商店限定)+Event遗物(事件获得)。遗物设计原则：单个遗物改变玩法方向而非单纯数值提升(如Snecko Eye=所有卡费用随机0~3但每回合多抽2张→彻底改变卡组构筑策略)。Hades keepsake(信物)系统：每个NPC一个信物，携带提供被动加成，首次赠送蜜露解锁→升级需重复赠送。星铁奇物：按稀有度分普通/稀有/传说，奇物间可组合触发额外效果。设计要点：遗物应该创造'我要围绕这个遗物重新规划Build'的感觉，而非'这个遗物让我已有Build更强一点'。,spire-archive(181遗物)+hades_json_data keepsake+StarRailData RogueMiracle,"遗物系统,奇物,信物,Build变量,稀有度分级,Snecko Eye",深度
数值,【肉鸽怪物设计与敌人AI体系】怪物设计三维度：行为模式(攻击/防御/Buff/召唤)×数值曲线(HP/ATK随层数膨胀)×特殊机制(对特定Build的检验)。杀戮尖塔敌人意图系统(核心创新)：每回合开始前展示敌人下一步行动(攻击X点/防御/Buff/未知)，将战斗从'猜谜游戏'变为'明牌解残局'。精英怪设计：每Act 3~4种精英，每种检验不同能力(AOE/高防/回血/多目标)。Boss设计公式：BossHP=BaseHP×ActMultiplier(Act1×1/Act2×1.5/Act3×2)，Boss至少3种行为模式循环。Hades Boss层级：小Boss(Meg/Hydra/Theseus)→最终Boss(Hades)→隐藏Boss(极热模式)。敌人组合设计：前排肉盾+后排输出+治疗辅助，迫使玩家优先击杀顺序决策。,spireofchaos.com+杀戮尖塔66怪物数据+Hades Boss设计,"怪物设计,敌人意图,精英怪,Boss设计,AI行为模式",深度
数值,【肉鸽战斗系统设计——操作与差异化】战斗系统两大流派：(1)回合制卡牌——杀戮尖塔/小丑牌，抽牌→消耗能量出牌→敌方行动，策略深度极高但操作门槛低；(2)即时动作——Hades/暖雪/Dead Cells，移动+攻击+闪避+技能，操作要求高但直觉性强。操作简化原则：基础操作模板不变(移动+普攻+特殊+闪避)，不同武器/流派仅改变玩法而非操作方式(Hades剑/枪/弩/拳/盾/矛6武器，基础操作相同)。差异化设计两种路径：路径A操作元素强化/弱化(暖雪：弱化远程强化近战→修罗流)，路径B武器动作差异化(Hades：拳套快攻vs弩炮慢射，节奏完全不同)。反直觉设计三原则(杀戮尖塔)：格挡回合末清零(禁止龟缩)/能量限制3点(资源匮乏=策略深度)/敌人意图可见(降低门槛拉高上限)。,机核肉鸽方法论+spireofchaos.com+Hades武器系统分析,"战斗系统,回合制,即时动作,操作简化,差异化,反直觉设计",深度
数值,【肉鸽程序化生成方法论】地牢生成四种算法：(1)BSP二叉空间分割——递归分割空间为房间+走廊，适用于标准地牢；(2)Perlin/Simplex噪声——连续随机地形，适用于洞穴/自然地形；(3)WFC波函数坍缩——基于样本自动拼接tile，适用于规则性环境；(4)手工预制件+随机拼接——杀戮尖塔/Hades方案，房间手设+路径随机连接。地牢约束参数(Roguelike品类)：房间数5~15/房间尺寸4×4~12×12/敌人密度2~5/房间/物品密度0~2/房间/最大重试20次。Seed系统：worldSeed→派生子种子(dungeonSeed/lootSeed/terrainSeed/npcSeed)，确保同seed可复现。杀戮尖塔地图结构：每Act 15层节点，节点类型(普通战斗50%/精英15%/商店/火堆/事件/宝箱)，分支路径3~4条，保证每条路径至少1个火堆+1个商店。,fcsouza_procedural-gen方法论(含代码实现)+杀戮尖塔地图分析,"程序化生成,BSP,WFC,Seed系统,地牢约束,地图结构",深度
