知识类型,描述,来源,标签,质量
数值,【RPG伤害公式体系】RPG伤害计算主流三种模型：(1)减法模型——最终伤害=攻击力-防御力，简单直观但高防穿透感差，适合早期/休闲RPG；(2)除法模型——最终伤害=攻击力×攻击力/(攻击力+防御力)，防御衰减曲线平滑，魔兽/暗黑系常用；(3)乘法模型——最终伤害=基础伤害×(1-减伤率)，减伤率=防御/(防御+K常数)，K值决定防御价值拐点，原神/星穹铁道采用此模型。暴击乘区独立计算：期望伤害=基础伤害×(1+暴击率×(暴击伤害-1))。属性克制系数：强克制×1.5/弱克制×0.5/无效×0，克制体系增加策略层次但需控制复杂度。,原神/星穹铁道数值分析+暗黑破坏神系列设计文档,"伤害公式,减法模型,除法模型,乘法模型,暴击乘区,属性克制",深度
数值,【RPG经验与等级成长曲线设计】等级成长曲线三种类型：(1)线性曲线——每级所需经验固定增量，前期进度感强但后期感知弱；(2)指数曲线——每级经验=基准×倍率^等级，后期成长缓慢，适合有明确等级上限的设计；(3)分段曲线——每N级为一阶段，阶段内线性，阶段间指数，主流商业RPG（原神/FF14）采用此方案。关键设计参数：首级速通时间（新手引导节奏）、中期单级耗时（日常活跃目标）、满级耗时（付费/时间投入设计）。属性成长公式：属性值=基础值×(1+等级成长率×等级)+装备加成，成长率决定等级压制强度。,FF14/原神成长曲线实测+GameRes数值设计方法论,"经验曲线,等级成长,分段曲线,成长率,满级设计",深度
数值,【RPG属性体系与战力换算】RPG核心属性分为三层：(1)基础属性层——力量/敏捷/智力/体力等原始属性，每点产出固定衍生属性值；(2)衍生属性层——攻击力/防御力/暴击率/速度等，直接参与战斗计算；(3)战力层——综合评分，用于快速匹配和进度引导。属性换算率设计原则：同类属性等价，不同属性按场景效率换算（如1%暴击率=X点攻击力）。战力公式反例：简单加权求和导致战力虚高（堆血=堆攻），推荐按实际DPS贡献权重计算。词缀价值评估：攻击>暴击伤害>暴击率>防御>血量（输出型职业参考）。,游戏数值设计实战+原神/梦幻西游属性分析,"属性体系,战力公式,属性换算,词缀价值,衍生属性",深度
数值,【RPG技能数值设计——倍率体系与冷却平衡】技能数值设计两大维度：(1)伤害倍率——技能伤害=攻击力×倍率系数，普攻倍率100%为基准，技能倍率150-500%配合冷却时间平衡DPS；(2)资源消耗——MP/能量/怒气等，技能强度=倍率/(CD×资源消耗)。技能冷却设计参考：瞬发低CD技能(1-3s)倍率约150-200%，中CD技能(8-15s)倍率约300-500%，长CD大招(30-120s)倍率600%+或带特殊机制。Buff/Debuff数值标准：增伤类20-40%为健康区间，超过50%产生数值依赖；控制类持续时间1-3秒（PVE），PVP需额外削弱50%。,WOW/FF14/原神技能数值实测分析,"技能倍率,冷却平衡,DPS计算,Buff数值,资源消耗",深度
数值,【RPG装备数值设计——词缀与强化体系】装备数值设计三层结构：(1)基础词缀——品质决定基础数值区间（白绿蓝紫橙对应100%/110%/125%/145%/170%基准）；(2)附加词缀——随机/固定词缀叠加，词缀数量1-4条，总价值约为同品质基础词缀的50-150%；(3)强化加成——每级强化+X%基础属性，强化失败/毁坏风险制造消耗点。装备套装设计：2件套/4件套效果，套装加成应超过散件20-40%才有驱动力，避免数值碾压过强。装备评分公式：装备分=Σ(词缀数值×词缀权重)，权重按职业需求差异化。,暗黑破坏神系列+原神圣遗物分析+GameRes装备系统设计,"装备词缀,品质体系,强化系统,套装设计,装备评分",深度
数值,【RPG经济系统——货币与通胀控制】RPG经济设计三类货币：(1)主货币（金币/钻石）——主要产出渠道+消耗渠道需严格平衡，避免通胀；(2)副货币（积分/代币）——专项消耗，防止主货币泛滥；(3)绑定货币——防止二级市场，保证活跃度价值。通胀控制三种手段：金币沉降（强化消耗/传送消耗/修理费）、产出封顶（每日/每周上限）、动态定价（高需求道具随市价调整）。健康经济模型参考：日常产出≈日常消耗×110-120%（微通胀维持活跃感），重大消耗节点间隔7-14天（付费冲动周期）。,WOW/梦幻西游/原神经济系统分析,"货币体系,通胀控制,金币沉降,经济平衡,付费节奏",深度
系统,【RPG战斗系统架构设计】RPG战斗系统分为四个子系统：(1)输入系统——实时制/回合制/半即时制的操作响应，实时制要求操作反馈<100ms；(2)判定系统——命中/闪避/格挡/暴击的概率计算，建议采用伪随机避免极端情况；(3)结算系统——伤害/治疗/状态的应用顺序，需定义明确的结算优先级（先减后增/先乘后加）；(4)AI系统——敌人行为状态机，威胁评估+技能选择+位置管理。回合制战斗额外需要：行动顺序（速度排序/CTB系统）、技能预览（降低认知负担）、自动战斗（减少重复操作疲劳）。,FF系列/宝可梦/崩坏星穹铁道战斗系统分析,"战斗系统,结算顺序,AI系统,回合制,实时制",深度
系统,【RPG职业系统设计框架】职业系统设计三原则：(1)差异化定位——每个职业有唯一的核心机制（战士=护甲减伤/法师=高爆发/牧师=治疗），差异体现在玩法而非数值；(2)数值平衡——相同投入下不同职业DPS/HPS/TPS应在±15%以内（副本职能可以更大）；(3)Build深度——职业内部应有多种可行流派（3-5种），避免最优解固化。职业分化时机：等级制（解锁转职点）/天赋树（自由点数分配）/装备驱动（特定装备激活流派）。多人RPG职责三角：Tank/Healer/DPS，每个职能不可互相替代，副本设计依赖此结构。,WOW天赋系统+FF14职业设计+原神角色分析,"职业系统,职业定位,数值平衡,Build深度,职能三角",深度
系统,【RPG任务与叙事系统设计】任务系统五层结构：(1)主线任务——驱动剧情进展，给予最高奖励，不可跳过；(2)支线任务——补充世界观，奖励次级，可跳过；(3)日常/周常——维持活跃，固定奖励，重复参与；(4)成就系统——长期目标，彰显身份，驱动深度探索；(5)隐藏任务——惊喜感，口碑传播。任务设计反模式：跑腿任务堆量（移动>战斗时间）、奖励与投入不匹配、叙事与玩法割裂。现代RPG趋势：任务分支影响剧情结局、对话选项有实际后果、NPC状态随任务进展变化。,上古卷轴5/巫师3/原神任务系统分析,"任务系统,主线支线,日常周常,成就系统,叙事设计",深度
系统,【RPG背包与道具系统设计】背包系统核心设计点：(1)容量设计——初始格数偏紧（制造扩容需求），扩容方式：付费/任务/成就解锁；(2)分类管理——装备/消耗品/材料/任务道具分栏，材料建议无限量堆叠；(3)快捷栏——高频使用道具快捷访问，数量4-8个为宜；(4)道具品质视觉——颜色/边框/特效区分品质，降低扫描时间。道具经济设计：消耗品产出应略多于消耗（库存微正），避免玩家因资源匮乏产生挫败感。道具系统反模式：道具种类过多导致选择困难、道具说明不清晰导致误用。,WOW/原神/星穹铁道背包系统分析,"背包系统,道具设计,快捷栏,容量设计,道具品质",实质
