知识类型,描述,来源,标签,质量
数值,"【杀戮尖塔完整数据统计表】STS1: 卡牌361张(Ironclad约78/Silent约75/Defect约75/Watcher约75/Colorless约20/Curse约15), 遗物181个(Common约60/Uncommon约50/Rare约30/Boss约25/Shop约10/Event约6/Starter4), 药水42个, 怪物66个, 事件52个, 增益减益效果146个, 角色4个(Ironclad/Silent/Defect/Watcher)。STS2(Early Access): 卡牌577张, 遗物289个, 角色5个, 新增附魔(Enchantment)系统。卡牌稀有度分布: Common约40%/Uncommon约35%/Rare约25%。商店定价: Common卡50~75金/Uncommon卡150~225金/Rare卡300~450金/移除卡75金(递增25)。",spire-archive(github.com/nkhoit/spire-archive),"杀戮尖塔,卡牌统计,遗物统计,商店定价,稀有度分布",深度
数值,"【Hades Boon配表——Aphrodite完整数据】Aphrodite boon pool: Heartbreak Strike(Attack,+50%伤害Common/×1.3~1.5Rare/×1.8~2.0Epic/×2.3~2.5Heroic,inflict Weak3秒)/Heartbreak Flourish(Special,+50%同稀有度递增)/Crush Shot(Cast,+50%同模式)/Passion Dash(Dash,+50%同模式)/Aphrodite's Aid(Call,伤害+charm效果)/Empty Inside(Passive,Weak持续时间+5秒Common/递增)/Sweet Surrender(Passive,Weak敌人受伤+10%Common/递增)/Life Affirmation(Passive,+HP上限+30Common/递增)。Duo Boon前置: Curse of Longing(Aphrodite+Ares,Doom持续打击Weak敌人)/Heart Rend(Aphrodite+Artemis,暴击对Weak敌人额外伤害)/Sweet Nectar(Aphrodite+Poseidon,Pom效果增强)。",hades_json_data/patches/52/boon_data_aphrodite.js+boon_data_duo.js,"Hades,Aphrodite,boon配表,Weak效果,Duo Boon,稀有度系数",深度
数值,【Hades武器完整ID配表】6大类×4 Aspect = 24种武器形态——Stygian Blade(SwordWeapon): Aspect of Zagreus/Nemesis/Poseidon/Arthur; Heart-Seeking Bow(BowWeapon): Aspect of Zagreus/Chiron/Hera/Rama; Shield of Chaos(ShieldWeapon): Aspect of Zagreus/Chaos/Zeus/Beowulf; Eternal Spear(SpearWeapon): Aspect of Zagreus/Achilles/Hades/Guan Yu; Adamant Rail(GunWeapon): Aspect of Zagreus/Eris/Hestia/Lucifer; Twin Fists(FistWeapon): Aspect of Zagreus/Talos/Demeter/Gilgamesh。每把武器有独立的Attack/Special/Cast/Dash Attack数值和行为模式。解锁条件: 基础Aspect免费/后续Aspect需暗月石(Titan Blood)解锁和升级(1~5级)。,hades_json_data/patches/52/weapon_data.json,"Hades,武器配表,Aspect,Stygian Blade,24武器形态",深度
数值,【星铁模拟宇宙配表规模索引】104个JSON配表完整索引——祝福体系: RogueBuff.json(187KB全部祝福)/RogueMazeBuff.json(304KB迷宫Buff)/RogueBuffGroup.json(60KB祝福分组)/RogueBuffType.json(5KB类型定义)。奇物体系: RogueMiracle.json(43KB)/RogueMiracleDisplay(48KB)/RogueMiracleEffect(32KB)。地图: RogueRoom.json(124KB)/RogueMap.json(134KB)/RogueAreaConfig.json(59KB)。怪物: RogueMonster.json(116KB)/RogueMonsterGroup.json(78KB)。NPC/事件: RogueNPCDialogue.json(103KB)/RogueNPC.json(30KB)/RogueHandBookEvent.json(46KB)。星神: RogueAeon.json(3KB)/RogueTalent.json(20KB)。DLC差分宇宙: 约35个RogueDLC*.json(~800KB)。Nous知更鸟: 约17个RogueNous*.json(~300KB)。总数据量: ~2.5MB+结构化JSON。,StarRailData/ExcelOutput/Rogue*.json,"星铁,模拟宇宙,配表索引,祝福,奇物,怪物,NPC,星神",深度
数值,【明日方舟集成战略配表规模索引】5期肉鸽(ro1傀影~ro5)数据——核心配表: roguelike_table.json(373KB道具/Buff/基础规则)/roguelike_topic_table.json(15MB全5期主题内容，是单个最大文件)。关卡数据: levels/obt/roguelike/下500+个JSON文件(ro1~ro5每期约100个关卡配置)。剧情脚本: story/obt/roguelike/下44个txt文件——ro1(5结局+1入场+4教程)/ro2(4结局+1入场)/ro3(4结局+1入场+1参考)/ro4(5结局+1入场+2DLC+1教程)/ro5(5结局+1入场)。数据特点: 完全中文/结构化极好/覆盖道具-事件-Buff-关卡-剧情全维度。,ArknightsGameData/zh_CN/gamedata/,"明日方舟,集成战略,配表索引,关卡JSON,剧情脚本,5期内容",深度
系统,"【肉鸽程序化生成参数配表——地牢/掉落/地形约束标准】地牢约束(按品类): Roguelike房间数5~15/房间尺寸4×4~12×12/敌人密度2~5/室/物品密度0~2/室/最大重试20次; Action房间数3~8/尺寸6×6~20×20/敌人密度3~8/物品1~3; Puzzle房间4~10/尺寸3×3~8×8/敌人0~1/物品0~1。掉落表约束: Roguelike Common60%/Uncommon25%/Rare10%/Epic4%/Legendary1%/保底20次; RPG 50%/30%/15%/4%/1%/保底15次; Idle 70%/20%/8%/1.5%/0.5%/保底50次。种子派生公式: dungeonSeed=hash(worldSeed+':dungeon:'+levelId), lootSeed=hash(worldSeed+':loot:'+levelId+':'+roomId)。推荐hash函数: FNV-1a/djb2/MurmurHash3。",fcsouza_procedural-gen方法论(含代码实现),"程序化生成,地牢约束,掉落概率,种子派生,hash函数,参数配表",深度
数值,"【杀戮尖塔4角色卡牌池明细】360张卡牌按角色分布——Ironclad(铁甲战士/红色)约78张：攻击力量叠加+自我治疗为主，代表卡Demon Form(恶魔形态,3能量,能力,每回合+2力量)/Offering(献祭,0能量,技能,失去6HP获2能量抽3牌)/Limit Break(突破极限,1能量,技能,力量翻倍)。Silent(静默猎手/绿色)约75张：毒药DOT+飞刀+弃抽为主，代表卡Catalyst(催化剂,1能量,技能,毒翻倍)/Wraith Form(幽灵形态,3能量,能力,每回合+2无实体但-1灵巧)。Defect(机器人/蓝色)约75张：充能球(闪电/冰霜/暗能量/等离子)轮转，代表卡Creative AI(创意AI,3能量,能力,每回合随机生成1张能力牌)。Watcher(观察者/紫色)约75张：立场切换(平静+2能量/愤怒×2伤害/神圣×3伤害)，代表卡Scrawl(涂鸦,1能量,技能,平静时抽到手牌上限)。Colorless(无色)约20张+Curse(诅咒)约15张。稀有度分布：Common≈40%/Uncommon≈35%/Rare≈25%。",spire-archive API(spire-archive.com/api/sts1/cards),"杀戮尖塔,卡牌池,4角色,代表卡,稀有度分布,360张",深度
数值,"【杀戮尖塔遗物完整分级表】181个遗物按获取来源分级——Common(普通,约60个,击败普通精英获得)：代表Akabeko(赤牛,每场首张攻击+8伤害)/Anchor(船锚,战斗开始获10格挡)/Bag of Preparation(准备包,每场多抽2张)。Uncommon(罕见,约50个,中级精英)：代表Mummified Hand(木乃伊手,打能力牌获随机能量)/Ornamental Fan(折扇,连打3张攻击获4格挡)。Rare(稀有,约30个,高级精英)：代表Dead Branch(枯枝,每消耗1张随机获1张)/Bird-Faced Urn(鸟面瓮,打能力牌回2HP)。Boss(Boss级,约25个,每个Boss后3选1)：代表Astrolabe(星盘,变化3张牌并升级)/Snecko Eye(蛇眼,所有卡费用随机0~3但每回合+2抽牌)。Shop(商店限定,约10个)。Event(事件限定,约6个)。Starter(角色初始各1个)。遗物JSON字段：id/name/description/flavor/tier/color/counter/icon。",spire-archive API(spire-archive.com/api/sts1/relics),"杀戮尖塔,遗物分级,181个,Common/Uncommon/Rare/Boss,Snecko Eye",深度
数值,【杀戮尖塔怪物与Boss配表概要】66个怪物按Act分布——Act1(Exordium)约20种：小怪(Jaw Worm/Louse/Cultist/Acid Slime等)+精英(Gremlin Nob/Lagavulin/3 Sentries)+Boss(The Guardian/Hexaghost/Slime Boss)。Act2(The City)约20种：小怪(Chosen/Mugger/Snecko等)+精英(Book of Stabbing/Gremlin Leader/Slavers)+Boss(The Champ/The Collector/Automaton)。Act3(The Beyond)约20种：小怪(Darkling/Reptomancer等)+精英(Giant Head/Nemesis/Reptomancer)+Boss(Awakened One/Time Eater/Donu&Deca)。Act4(隐藏)：Spire Shield+Spire Spear→最终Boss Corrupt Heart(约750HP/每回合造成伤害+Buff)。敌人意图系统：每回合开始前展示下一步(攻击X/防御/Buff/未知)。怪物HP膨胀：同类怪在更高Ascension下HP+5~20%。,spire-archive(66怪物数据)+杀戮尖塔社区攻略,"杀戮尖塔,怪物配表,66怪物,Boss,Act分布,意图系统,Corrupt Heart",深度
数值,"【杀戮尖塔事件完整列表概要】52个事件按Act分布——Act1(约18个)：代表Neow's Lament(尼奥的悲叹,前3场战斗敌人1HP)/Golden Idol(黄金偶像,获遗物但触发诅咒)/Living Wall(活墙,升级/移除/变化1张卡)。Act2(约18个)：代表Council of Ghosts(幽灵议会,获5张攻击牌+无实体但失去所有金币)/Knowing Skull(智慧头骨,用HP换金币/卡牌/药水)/The Joust(马上比武,赌赢获250金)。Act3(约16个)：代表Mind Bloom(意识绽放,3选1：战Boss获遗物/升级所有/回满血但获2诅咒)/Mysterious Sphere(神秘球体,2个精英战斗获遗物)/Secret Portal(秘密通道,直接进入Boss)。每个事件结构：触发条件(Act/层数/持有遗物)+描述+选项(2~4个)+结果(HP/金币/卡/遗物增减)。",spire-archive(52事件数据)+杀戮尖塔Wiki,"杀戮尖塔,事件列表,52事件,Act分布,选项设计,风险回报",深度
