知识类型,描述,来源,标签,质量
数值,【三国SLG武将属性配表】完整武将配置样本(force/strategy/defense/speed/destroy/成长值/抽卡概率/星级/阵营)——十常士:8400/8500/9000/6200/2100/grow30-40/prob7/5星/camp1; 吕布:9600/5500/9700/9000/1800/grow80-50/prob12; 蔡文姬:8500/8500/8100/8300/2000/grow80-60/prob21; 貂蝉:8800/8400/8900/8300/2000/grow65-80/prob22/camp2; 袁绍:8100/5000/7900/4300/7000/grow30-50/prob24; 卢植:8900/8000/9000/8600/1600/grow70-50/prob5; 张角:9100/9200/8900/9000/1300/grow80-88/prob10/camp2; 董卓:8800/7300/8600/8900/1300/grow80-89/prob18/camp2; 吕布(SSR):10000/8000/10000/9000/1800/grow100-80/prob10; 贾诩:8800/9500/9100/6900/2000/grow50-90/prob15。定位规律：武将型force_grow>80/谋士型strategy_grow>85/均衡型各grow80~88。,knowledge-base/gameplay/narrative/game-story-data/slg/三国SLG_slgserver_general.md,"三国SLG,武将配表,属性明细,成长值,抽卡概率",深度
数值,"【三国SLG 9兵种×9克制矩阵配表】完整克制比率(harm_ratio对[步弓骑轻步长弓轻骑重甲弩重骑])——步兵(id=1,Lv1,1000gold):[100,110,90,95,105,85,90,100,80]; 弓兵(id=2,Lv1,1000gold):[90,100,110,85,95,105,80,90,100]; 骑兵(id=3,Lv1,1000gold):[110,90,100,105,85,95,100,80,90]; 轻步兵(id=4,Lv3,5000gold):[105,115,95,100,110,90,95,105,85]; 长弓兵(id=5,Lv3,6000gold):[95,105,115,90,100,110,85,95,105]; 轻骑兵(id=6,Lv3,4000gold):[115,95,105,110,90,100,105,85,95]; 重甲兵(id=7,Lv7,14000gold):[110,120,90,105,115,95,100,110,90]; 弩兵(id=8,Lv3,6000gold):[100,110,120,95,105,115,90,100,110]; 重骑兵(id=9,Lv7,18000gold):[120,100,110,105,95,105,110,90,100]。",knowledge-base/gameplay/narrative/game-story-data/slg/三国SLG_slgserver_general_arms.md,"三国SLG,兵种克制矩阵,harm_ratio,解锁条件,转兵花费",深度
数值,"【三国SLG武将1~20级经验/带兵配表】Lv1:exp=0/soldiers=100, Lv2:1000/200, Lv3:2000/300, Lv4:3000/400, Lv5:4000/500, Lv6:5000/600, Lv7:6000/700, Lv8:7500/800, Lv9:9000/900, Lv10:11000/1000, Lv11:12500/1100, Lv12:15000/1200, Lv13:17000/1300, Lv14:19000/1400, Lv15:23000/1500, Lv16:26000/1600, Lv17:29000/1700, Lv18:31000/1800, Lv19:35000/1900, Lv20:50000/2000。规律：Lv1~7线性+1000/级，Lv8+加速递增(+1500~+15000)，带兵数严格线性soldiers=100×Lv。",knowledge-base/gameplay/narrative/game-story-data/slg/三国SLG_slgserver_general_basic.md,"三国SLG,等级配表,经验值,带兵数,成长曲线",实质
数值,【三国SLG NPC守军Lv1~8配表】每级土地2组NPC军队，每组3武将——Lv1:组A=十常士(100002)+吕布(100003)+蔡文姬(100004)各Lv1/组B=蔡文姬+貂蝉(100005)+袁绍(100006)各Lv1/兵力100; Lv2~3:同组合/兵力100; Lv4:组A=蔡文姬+貂蝉+袁绍/组B同/兵力100; Lv5~8:组A=十常士+吕布+蔡文姬/组B=蔡文姬+貂蝉+袁绍/兵力100。设计意图：低级土地弱NPC供新手，高级需多队协同。(注：此Demo版兵力未随等级递增，实际产品应按级调整),knowledge-base/gameplay/narrative/game-story-data/slg/三国SLG_slgserver_npc_army.md,"三国SLG,NPC配表,守军,土地等级,PvE",实质
数值,"【三国SLG技能框架与示例配表】触发类型：主动(1)/被动(2)/追击(3)/指挥(4)。效果类型：伤害率(1,isRate)/攻击(2)/防御(3)/谋略(4)/速度(5)/破坏(6)。目标类型：自己(1)/我军单体(2)/我军1-2(3)/1-3(4)/全体(5)/敌军单体(6)/1-2(7)/1-3(8)/全体(9)。技能示例——突击(cfgId=101,主动,敌军单体,伤害率,10级每级prob30%/effect50%); 百战精兵(cfgId=201,被动,自己,攻防谋速各+50,prob30%); 锋矢(cfgId=401,指挥,我军全体,伤害提升50%); 重斩(cfgId=301,追击,敌军单体,伤害率50%)。技能10级升级体系，arms限制可用兵种。",knowledge-base/gameplay/narrative/game-story-data/slg/三国SLG_slgserver_skill_outline.md,"三国SLG,技能配表,触发类型,效果类型,目标类型,技能示例",深度
数值,【三国SLG基础经济配置表】征兵成本：每兵cost_wood=10/cost_iron=10/cost_grain=10/cost_gold=1/cost_time=1。角色初始资源：wood/iron/stone/grain/gold各10000，decree(令旗)=20/decree_limit=20/recovery_time=20min。产量：wood_yield/iron_yield/stone_yield/grain_yield/gold_yield各1000。depot_capacity(仓库容量)=1000000。build_limit(土地上限)=20。武将：physical_power_limit=100/draw_general_cost(抽卡)=30gold/pr_point(保底)=1000/limit(武将上限)=500。城池：cost=75/durable=100000/transform_rate=50/recovery_time=600。联盟：member_limit=100。要塞上限：fortress_limit=10/免战时间war_free=20。,knowledge-base/system/slg-modules/SLG实战_three-kingdoms-slg-service.md,"三国SLG,经济配置,征兵成本,初始资源,武将配置,联盟配置",实质
数值,"【三国SLG地图建筑完整配表】地图200×200=40000格。建筑类型：系统要塞(type=50,Lv5,耐久30000,defender=1)/城区(type=51,Lv1~10,耐久=100000×Lv,defender=5)/土地(type=52,Lv1~8)。土地产出明细：Lv1:grain=100/wood=100/iron=100/stone=100/耐久10000/defender=1; Lv2:各200/defender=2; Lv3:各300/耐久100/defender=3; Lv4:grain=0/wood=4000/iron=0/stone=0(单资源特化)/defender=4; Lv5:wood=5000/defender=5; Lv6:wood=1000。玩家要塞(type=56)：Lv1需decree=2+四资源各1000/耐久10000/defender=5/time=100/提供army_cnt=1; Lv2需decree=3+各2000/time=200/army_cnt=2。",knowledge-base/system/slg-modules/SLG实战_slgserver.md,"三国SLG,地图配表,建筑类型,土地产出,要塞配置,城区耐久",深度
系统,"【三国志3外交系统完整参数表】7种外交行动成功率公式——结盟(ALLIANCE):基础30%+关系值×0.5+魅力×0.2,实力比>1.5时+10%/<0.5时-20%,成功关系+20/费用500gold; 宣战(DECLARE_WAR):直接执行/关系-50; 求和(PEACE):基础40%,弱势(实力<0.5倍)+30%,魅力×0.1,成功关系+10/费用1000; 离间(SOW_DISCORD):需智力≥70武将,基础30%+智力×0.3,忠诚度<50额外+20%/<70额外+10%,胆小性格+15%/仁义-20%,成功忠诚度-10~30/费用800; 贿赂(BRIBE):≥500金起步,关系提升=金额÷100; 威胁(THREATEN):需实力>对方,基础40%+实力比加成+武力×0.1; 劝降武将:基础50%+魅力×0.3+(100-忠诚度)×0.2,仁义+20%/刚胆+10%; 劝降势力:仅剩1~2城+实力差3倍,基础30%+魅力×0.2,胆小+20%/刚胆-30%。",raw-projects/sgz3_web/src/systems/diplomacy/DiplomacySystem.ts,"三国志3,外交参数,结盟成功率,离间公式,劝降条件",深度
数值,"【三国志3战斗系统完整参数表】兵种基础属性：步兵ATK=10/DEF=12/SPD=3,骑兵ATK=14/DEF=8/SPD=5,弓兵ATK=12/DEF=6/SPD=3,水军ATK=10/DEF=10/SPD=4。兵种克制：步克骑/骑克弓/弓克步,克制伤害+30%。地形加成：平原攻防0%,山地攻-10%防+30%,关隘攻-20%防+50%。天气：晴0%,雨攻防各-10%士气-5,雪攻防-20%士气-10。6种阵型：鱼鳞(攻-10%防+30%)/锋矢(攻+30%防-10%)/雁行(0%)/方圆(攻防各+10%机动-10%)/长蛇(防-10%机动+50%)/衡轭(攻防各+15%)。士气效果：>80攻+10%防+5%/<50攻-20%可能逃跑/<20溃散。武将加成：武力×0.01→攻击,统率×0.01→防御。攻城守方有城防%+城墙等级×20%加成。伤害=基础攻击×阵型×地形×天气×武将-防御减免×士气×疲劳×随机(0.8~1.2)。",raw-projects/sgz3_web/src/systems/battle/BattleSystem.ts,"三国志3,战斗参数,兵种属性,阵型效果,地形天气,伤害公式",深度
系统,【三国志3 AI决策权重完整配表】12维决策权重基础值(均50)：developEconomy/developMilitary/developDefense/attack/defend/recruit/alliance/declareWar(30)/diplomacy(40)/recruitGeneral(40)/promoteGeneral(30)/searchItem(20)。6种君主性格调整：刚胆(attack+30%/defend-20%/declareWar+20%/更容易接受单挑); 胆小(defend+30%/attack-20%/alliance+20%/更容易求和); 仁义(diplomacy+20%/declareWar-30%/recruitGeneral+20%/重视忠诚度); 冷静(计谋+20%/均衡决策/资源管理高效/重视情报); 鲁莽(attack+20%/defend-10%/容易中计/忽视防御); 普通(均衡)。局势因素调整：高威胁defend+50%attack-30%/高机会attack+40%/资源紧缺develop+50%military-30%。势力规模：1~3城发展优先/4~8城平衡/9+城扩张优先。AI难度：EASY(3决策/回合)/NORMAL(5)/HARD(8)。,raw-projects/sgz3_web/src/systems/AI/,"三国志3,AI权重,君主性格,局势调整,难度等级",深度
