知识类型,描述,来源,标签,质量
数值,【超休闲游戏核心数值——会话时长与重玩设计】超休闲核心数值目标：单次会话时长2-5分钟（碎片化场景），日均会话次数3-8次，次日留存>40%。局时设计：单局时长30-90秒为最佳（足够产生技巧感，又不因失败产生高挫败）；无限模式（跑酷/堆叠类）平均局时60-120秒，随技巧提升延长。难度曲线：前10局线性提升（教学期），10-50局进入瓶颈区（保持挑战），50局后平台期（核心玩家维持）。个人最高分驱动：超越自己历史记录>超越他人，成就感来源明确。失败频率：理想状态每5-10分钟失败1次（挑战感适中），失败率>50%且单局<30秒会导致流失。,超休闲游戏数据报告+Voodoo/Ketchapp产品分析,"超休闲数值,会话时长,难度曲线,个人最高分,失败频率",深度
数值,【放置游戏数值设计——离线收益与成长曲线】放置游戏核心数值：(1)离线收益率——通常为在线收益的20-50%，防止完全挂机替代主动游玩；(2)成长速度——前期指数级快速（满足感强），中期指数减缓，后期对数收敛（防止无限膨胀）；(3)产能单位成本——每个生产单元价格为当前产能的10-30倍，保证购买决策有意义；(4)里程碑产出——每隔一定关卡有产出翻倍/新机制解锁，制造突破感。数值通货膨胀管理：引入新货币层次（金->钻石->宝石），每层货币的汇率差10-100倍，避免单一货币数字过大（超过10亿失去感知）。,AdVenture Capitalist/放置奇兵数值分析,"放置游戏,离线收益,成长曲线,里程碑,数值通胀",深度
系统,【超休闲游戏核心机制设计——秒懂原则】超休闲核心机制设计三要素：(1)一句话说清——机制描述不超过一句话（「向左向右躲避障碍」「堆叠积木不倒」），无需教程；(2)即时上手——0-3秒内开始第一次游戏体验，无加载/登录/教程；(3)操作极简——1-2个输入方式（单点击/滑动/倾斜），绝不超过3个。新机制验证标准：给5个从未玩过游戏的人试玩，若<3人在10秒内理解玩法则需重新设计。视觉清晰度：主角/障碍/目标颜色对比度>4:1（无障碍标准），一眼看清场景状态。音效设计：正面反馈（得分/升级）音效清脆短促，失败音效轻柔不刺耳（避免挫败感放大）。,Voodoo/Lion Studios超休闲设计文章,"超休闲设计,秒懂原则,即时上手,操作极简,视觉清晰",深度
系统,【放置游戏系统设计——挂机循环与主动操作】放置游戏双轨设计：(1)被动循环（挂机）——离线/后台产出，打开APP领取收益，满足感来自「时间变财富」；(2)主动操作——点击加速/策略决策（购买哪个单元）/限时事件参与，防止纯挂机导致无参与感。主动操作设计原则：每次登录有3-5个有意义的决策点（买升级/参加活动/收集奖励），操作时间5-15分钟，之后自然退出等待。离线保护机制：离线时间上限通常8-24小时（对应1-2次固定登录习惯），超出部分收益不累计（制造固定登录节律）。新手高速期：前30分钟产能以10倍/分钟速度增长，制造极强进度感吸引留存。,AdVenture Capitalist/Egg Inc/放置类游戏机制分析,"放置游戏,挂机循环,主动操作,离线保护,新手速度",深度
系统,【超休闲广告系统设计——激励视频集成】超休闲主要商业化靠广告（IAA），激励视频设计是核心：(1)触发时机——失败后（复活机会）、关卡通关后（双倍奖励）、资源不足时（免费获取），三个时机转化率递减；(2)频率控制——每5-10分钟最多触发1次激励视频（过密影响体验），插屏广告每3局1次（过密导致卸载）；(3)奖励价值——激励视频奖励应为不看广告情况下约10-30分钟的进度，驱动观看但不破坏游戏节奏；(4)拒绝体验——拒绝广告后游戏继续流畅进行（不惩罚不看广告的玩家）。eCPM目标：中国市场激励视频eCPM约50-150元/千次展示。,超休闲广告变现数据报告+Unity Ads文档,"广告系统,激励视频,插屏广告,eCPM,触发时机",深度
玩法,【超休闲核心循环——失败驱动的即时重试】超休闲核心循环：开局（0秒等待）→游戏（30-90秒）→失败（明确原因）→即时重试（1秒内）。即时重试是关键：失败到重新开始总时间<2秒（不打断心流），任何加载/广告/确认弹窗都会显著降低重试率。失败归因设计：玩家失败时必须清楚知道「是我自己错了」而非「游戏不公平」，操作反馈即时清晰（死亡动画+明确碰撞提示）。进步感设计：即使每次游戏都失败，玩家应感知到自己在进步（个人最高分接近破纪录/新技巧学到了）。「就差一点」心理：失败时离目标越近重试意愿越强，关卡设计应制造「差一点」的频率>50%。,超休闲游戏设计理论+Voodoo白皮书,"核心循环,即时重试,失败归因,进步感,就差一点",深度
玩法,【休闲游戏社交功能设计】休闲游戏社交设计三级：(1)弱社交——排行榜（好友排名）、分享截图，零阻力，不需要实时在线；(2)中社交——好友进度比较（你好友在第X关）、互赠生命/道具，驱动轻量互动；(3)强社交——公会/队伍（消除类联赛），高门槛但显著提升留存。排行榜设计原则：只显示好友排名（不看全球榜，降低挫败）+相近水平的陌生人（竞争对手感觉可追），显示名次而非具体分数差距（减少绝望感）。病毒传播设计：邀请好友奖励（双方获益）、成就分享（自动生成分享图）、求助机制（发给好友获得额外生命），社交裂变系数目标>0.5。,糖果传奇/消消乐社交功能分析,"社交功能,排行榜,好友互动,病毒传播,社交裂变",深度
策划,【超休闲商业化——IAA为主的广告变现】超休闲商业化模型：广告收入（IAA）占80-95%，内购（IAP）占5-20%。广告类型配比：激励视频40%/插屏广告40%/Banner广告20%（按收入贡献）。关键指标：DAU×广告展示次数/人×eCPM/1000=日广告收入。提升广告收入三要素：(1)提升DAU（核心）——次日留存每提升1%，LTV提升约2-3%；(2)提升展示频次——激励视频展示率（有展示机会的DAU占比）目标>60%；(3)提升eCPM——接入多广告平台（Waterfall/Header Bidding）竞价。付费功能设计：去广告（一次性6-18元）+月卡（每日双倍奖励，9-30元/月）为主要内购项。,超休闲广告变现实践+AppLovin/Mintegral数据报告,"超休闲商业化,IAA广告,eCPM,去广告,DAU与LTV",深度
策划,【休闲游戏买量与UA设计】休闲游戏用户获取（UA）核心：买量视频素材质量>预算规模。高转化素材规律：(1)前3秒展示核心玩法（无旁白，直接gameplay）；(2)制造紧张感（接近失败/接近成功）；(3)结局反转（出乎意料的失败或超级成功）；(4)时长15-30秒最佳。素材迭代：每周测试5-10支新素材，停止低于平均CTR50%的素材，复制高表现素材的逻辑。CPI目标（中国市场）：超休闲CPI约1-3元，休闲CPI约5-15元，中重度10-30元+。Organic流量：好的游戏截图+应用商店评分>4.5是ASO核心，有机流量占比目标>30%。,AppLovin/IronSource UA数据+超休闲发行商白皮书,"UA设计,素材制作,CPI,应用商店优化,有机流量",实质
策划,【休闲游戏竞品分析——细分赛道机会】休闲游戏细分赛道现状：(1)超休闲（Hyper-casual）——市场饱和，单品LTV低，需大规模买量，头部发行垄断；(2)混合休闲（Hybrid-casual）——超休闲玩法+中度Meta，LTV提升3-5倍，当前增速最快；(3)中度休闲——消除/合成/经营，头部产品长尾效应强，新品突围难；(4)放置/挂机——用户粘性强，买量成本相对低，适合小团队。新机会方向：AI生成关卡（消除/解谜无限内容）、体感/AR休闲（新硬件平台）、垂直人群（老年/女性特定偏好）。竞品进入壁垒：超休闲关卡设计数据积累（百万级关卡数据优化）是核心壁垒。,移动游戏市场报告2025+Data.ai分析,"竞品分析,超休闲市场,混合休闲,赛道选择,新机会",深度
