知识名,知识内容
武器基础伤害数值框架,六种武器基础伤害值差异显著，反映各自定位：大剑（Stygian Blade）普攻基础25伤害/慢速，具霸体感；长枪（Eternal Spear）基础20伤害/中速，兼具远程投掷；弓（Heart-Seeking Bow）普攻基础50伤害/蓄力机制，特攻全弹命中可叠加；盾（Shield of Chaos）普攻基础20伤害/防御蓄力不同；拳套（Twin Fists）普攻基础10×2连击/高频；弩炮（Adamant Rail）基础15伤害/枪链高频。各武器设计遵循"高伤害=低频率，低伤害=高频率"的TTK均衡原则，确保不同武器对同等级敌人的通关时间差异在合理范围内。
伤害计算公式与乘法叠加机制,Hades伤害计算采用乘法叠加而非加法叠加：最终伤害 = 基础伤害 × 武器变异倍率 × 祝福倍率（可多个叠乘） × 暴击倍率（若触发）。关键特性：①祝福之间一般为乘法关系，不同机制叠加后数值可产生指数级放大；②同一动作上只能附带一种"主机制"（如燃烧/寒冷/诅咒只保留一种），防止DoT无限叠加；③多个同神祝福强化同一动作时，通常为加法叠加（同类型Buff叠加），只有跨神明/跨机制时才产生乘法爆炸。
祝福数值稀有度梯度,以阿尔忒弥斯暴击祝福为例，不同稀有度数值梯度：普通=15%暴击率+150%暴击伤害；稀有=20%暴击率+175%暴击伤害；史诗=25%暴击率+200%暴击伤害；英雄=30%暴击率+225%暴击伤害；传奇祝福特殊（往往有机制变化而不仅是数值提升）。数值梯度设计原则：相邻品质之间约20-30%的数值提升，保证稀有度升级有明显感知而不过于飞跃，让数值选择本身具有策略意义。
敌人血量与难度曲线,敌人生命值设计遵循区域递增规律：Tartarus普通小怪约150-250HP；Asphodel普通小怪约300-500HP；Elysium普通小怪约500-800HP；精英敌人HP通常为同区域普通小怪的3-5倍；Boss HP在1500-6000+范围（哈迪斯最终阶段双阶段）。HP曲线增长幅度刻意高于玩家Build的自然成长速度，保证玩家在每个区域都感受到明显压力增加，驱动Build优化需求。
夜之镜数值参数,Mirror of Night包含约14个条目，每个条目有2-8个升级等级，每级消耗黑暗资源（Darkness）递增。典型参数示例：①生命值增加：+25HP/级，最高可升4级（+100HP）；②"死里逃生"：低血量时保留1HP一次，概率从10%到30%；③Charon商店折扣：每级降低10%，最高4级（-40%）；④投掷攻击伤害：+1伤害/级（叠加于基础投掷值）。正反两面选择机制：多数条目存在互斥的A/B面，如"生命值+25"vs"满血时+15%伤害"，针对不同玩家操作水平和风格进行数值路线分叉。
Pact of Punishment（惩罚条款）数值设计,Pact of Punishment提供多维度难度调节，关键条款数值示例：①闪炎铸造（Extreme Measures）：Boss获得新技能+额外伤害提升20-40%；②血腥增益（Blood Price）：进入新区域时扣除部分HP（20-50HP/区域）；③死亡惩罚（Death Defiance用尽）：死里逃生次数锁定为0；④感知深度（Tight Deadline）：每个关卡限时通过否则敌人buff；⑤挑战契约叠加最高可达Heat（热度）等级57，对应数值体系接近指数级难度增长。Heat系统数值设计目的：线性增加但体验呈幂次增长，保持高级玩家的长期挑战感。
暴击系统数值设计,Hades中暴击以"触发率+伤害倍率"双参数定义。阿尔忒弥斯是暴击核心神明，传奇祝福"神射手之光"可实现每次攻击均有60%暴击率。典型暴击计算示例：基础攻击50伤害，附加20%暴击率+200%暴击伤害（即200%额外伤害）→期望伤害 = 50×0.8 + 50×3×0.2 = 40+30 = 70期望值，较基础提升40%。多个暴击来源可叠加概率，但概率上限一般在60-70%（防止无脑暴击流全覆盖）。
DoT（持续伤害）系统数值设计,诅咒类伤害来自特定神明，具有独特计时机制：①阿瑞斯"毁灭"（Doom）：叠加后延迟1.5秒爆发，常规强化版基础60-70伤害，特化后可达200+单次爆发；②狄俄尼索斯"陶醉"（Hangover/Intoxication）：每秒4-7伤害，最高叠加5层=最高35伤害/秒，持续5秒；③状态驱除：Boss和精英敌人拥有状态抗性，诅咒叠加速度降低、持续时间缩短。DoT设计的数值权衡：爆发型（阿瑞斯）vs持续型（狄俄尼索斯），两种流派对单目标和群体伤害效率各有优劣。
资源投放节奏设计,游戏设计了严格的资源稀缺梯度：Darkness（常见，每局可得200-500+）、Gemstones（中等，每局50-150）、Charon骨灰（Ash/Key，单次通关量有限）、Titan Blood（稀缺，早期通关Boss必得，后期限量分配）、Diamonds（极稀缺，特定任务/BOSS获得）。稀缺资源设计逻辑：越稀缺的资源解锁的内容影响越大（Titan Blood→武器Aspect改变核心游戏体验），确保玩家对每一份稀缺资源的分配都会深思熟虑，强化局外策略决策的重量感。
Obols（金币）经济系统,Obols是局内唯一的商品经济资源，来源：房间奖励（固定40-80金/房间）、信物加成（特定信物可增加10-25%金币收益）。消费点位：①Charon商店：祝福升级（250金）、血量恢复（50金/块）、稀有道具（150-400金）；②投机性一次性道具：Well of Charon物品约50-150金。数值设计关键点：单次闯关全程Obols总量约在500-800范围，意味着玩家只能做有限的购买选择（2-4次有效消费），每次花费决策都具有显著的机会成本。
