知识类型,描述,来源,标签,质量
数值,【FPS武器伤害与TTK设计】TTK（Time-to-Kill）是FPS核心数值支柱：TTK=HP/DPS，其中DPS=单发伤害×射速。竞技FPS TTK分区：超低TTK（0.1-0.3s，如CS:GO爆头）强调预判与精准；低TTK（0.3-0.8s，如Valorant）强调操作容错；中TTK（0.8-2s，如Apex Legends）强调走位与博弈；高TTK（2s+，如Halo）强调持续对抗。武器分类数值参考：手枪=低伤高精度、冲锋枪=高射速中伤害、步枪=中射速高伤害、狙击枪=超高伤低射速。护甲减伤设计：分区护甲（头/躯干/四肢）乘以减伤率，爆头系数通常1.5-4x。,CS:GO/Valorant/Apex Legends数值实测分析,"TTK,武器伤害,DPS,护甲减伤,爆头系数",深度
数值,【FPS弹道与后坐力数值设计】弹道系统三要素：(1)首发精度——静止/移动/跳跃时散布圆半径，竞技FPS首发精度极高，移动射击精度下降50-80%；(2)连发扩散——每次射击散布扩大X%，通常前3-5发可控，之后需要间歇点射；(3)后坐力规律——固定型（CS:GO步枪有固定喷射模式可记忆）vs随机型（散布随机但均值固定）。后坐力补偿设计：玩家通过反向拖鼠标抵消后坐力，固定模式可学习，增加技术上限。弹速与延迟：弹道飞行速度决定远距离提前量（狙击枪0延迟vs火箭弹有明显飞行时间）。,CS:GO/Valorant弹道系统分析+后坐力练习工具数据,"弹道系统,后坐力,连发扩散,首发精度,弹道补偿",深度
数值,【FPS经济系统设计——买枪轮次平衡】竞技FPS经济系统设计目标：让资源管理成为策略维度。CS:GO经济参数：击杀奖励$300、输方补偿递增（最高$3400）、武器价格$200-$4750。经济轮次三种策略：全买轮（full buy，全员满装备）、半买轮（force buy，次优装备）、节省轮（eco，保存资金）。经济平衡原则：输方补偿机制防止滚雪球；连胜/连败奖励差异控制在2-3倍以内；单局经济总量应支撑3-4次全买。Battle Royale经济变体：击杀掉落装备，死亡清零，资源争夺是核心玩法。,CS:GO/Valorant经济系统分析+esports数据,"经济系统,买枪轮次,输方补偿,资源管理,全买eco",深度
数值,【FPS技能/能力数值平衡（英雄射击）】英雄射击技能设计约束：技能不可违反FPS核心——枪法仍是最重要的胜负手，技能只提供辅助优势（20-30%增益）而非决定性胜利。技能冷却参考：主动技能CD 15-45秒，大招CD 60-120秒或需积累充能。技能数值上限：位移类技能距离不超过武器射程的30%（防止无限逃脱）；控制类持续时间0.5-1.5秒（不完全剥夺对手操控）；伤害类技能DPS不超过最强主武器的60%（技能不能替代枪战）。Valorant平衡哲学：技能创造优势窗口，但不能无技能稳赢。,Valorant/Overwatch技能平衡分析+开发者访谈,"英雄射击,技能平衡,技能CD,技能数值上限,枪法优先",深度
系统,【FPS地图设计原则——三路结构与视野控制】竞技FPS地图设计黄金法则：(1)三路结构——A路/中路/B路，三路连通但长度/风险不同，中路控制提供信息优势；(2)视野控制点——每条路有2-3个关键角度，可预判并先手击杀；(3)高低差——制高点提供压制优势但需暴露自身；(4)掩体节奏——掩体间距3-5步（一个身位），保证持续掩体跳跃移动；(5)对称平衡——攻守两侧到关键点时间差控制在2秒以内。反模式：长直线走廊（无掩体秒杀）、视野死角过多（信息混乱）、路线过少（战术单一）。,CS:GO经典地图解析+地图设计理论文章,"地图设计,三路结构,视野控制,高低差,对称平衡",深度
系统,【FPS移动系统设计——跑跳与卡位机制】FPS移动设计核心参数：移动速度（影响命中难度和战术节奏）、加速度（影响启动停止手感）、跳跃高度与时长（影响垂直机动）。竞技FPS移动原则：移动中射击精度大幅下降（强制停止后再射击，强化对决感）；滑步/急停技术（bunny hop/counter-strafing）作为高技术天花板；站立/蹲伏/跑动精度三档分明。Battle Royale移动：滑铲/攀爬增加垂直维度，移动系统复杂度更高。攀爬系统：可攀爬高度≤1.5个角色身高，高于此高度需特殊动作或禁止。,CS:GO/Apex Legends/Warzone移动系统分析,"移动系统,急停,跳跃,精度惩罚,垂直移动",深度
系统,【FPS信息系统设计——雷达与音效】FPS信息层设计三类：(1)视觉信息——雷达/小地图（2D位置）、受击方向指示、弹痕/足迹；(2)音频信息——脚步声（距离×材质=音量/音色）、换弹/技能音效、环境音；(3)触觉信息（手柄）——受击震动反馈。竞技FPS信息设计哲学：信息应通过技巧获取而非自动提供（CS:GO无自动标记）；过度信息辅助降低天花板（战略/战术思考空间减少）。雷达可见范围：队友全可见，敌人仅在开枪/特定技能时显示。音效距离衰减：脚步声可听距离约15-20米，枪声可听全图，是重要战术信息。,CS:GO音效系统+专业选手访谈,"信息系统,雷达设计,音效设计,战术信息,信息层",深度
玩法,【FPS核心循环设计——回合制vs连续制】FPS两大核心结构：(1)回合制（CS:GO/Valorant）——每局15-30分钟，死亡等待下轮，经济系统跨轮持续，强化策略层；(2)连续制（Apex/Warzone）——死亡可复活或淘汰制，节奏更激烈，地图缩圈制造强制决战。回合制设计原则：每轮时长90-120秒为最佳（够用但不疲惫），攻方有明确目标（炸弹/突破点），守方有明确防守站位。连续制Battle Royale：缩圈速度控制局时在25-35分钟，安全区收缩曲线决定中后期节奏。击杀反馈：即时击杀确认（爆头音效/击杀提示）是核心爽点，需在100ms内呈现。,CS:GO/Valorant/Apex核心循环分析,"核心循环,回合制,连续制,Battle Royale,缩圈设计",深度
玩法,【FPS排位赛设计——匹配机制与晋级体系】竞技FPS匹配设计要求：平均对局时间<10秒（PC端），玩家实力差距控制在段位±1级内。ELO/MMR系统：胜利+积分/失败-积分，积分波动随胜率趋于稳定（防止刷分）。段位设计：6-8个大段位（青铜→白银→黄金→铂金→钻石→大师→挑战者），每段位3-5个小级，视觉差异明显。防作弊机制：反向匹配（高胜率玩家匹配更强对手）防止代打，账号封禁+段位重置。晋级/降级赛：达到积分上限后触发晋级赛（3局2胜），增加仪式感和紧张感。Placement赛：赛季初强制10场定级赛，快速校准初始段位。,CS:GO/Valorant/英雄联盟段位系统分析,"排位设计,MMR,段位体系,匹配机制,晋级赛",深度
策划,【FPS竞品分析——主流产品差异化定位】主流FPS差异化定位：(1)CS:GO/CS2——纯竞技，无英雄技能，枪法即一切，专业赛事生态成熟；(2)Valorant——英雄技能+竞技射击，技能创造战术多样性，电竞化定位；(3)Apex Legends——英雄射击+Battle Royale，移动系统复杂度最高，小队配合深度强；(4)Overwatch——英雄射击+团队对抗，纯技能驱动，枪法要求最低；(5)PUBG——拟真射击+Battle Royale，弹道复杂度最高，生存策略优先。新项目差异化方向：垂直移动维度（跑酷+射击）、环境破坏、AI敌人混合PVP。,各产品Steam/数据平台+GameRes分析,"竞品分析,差异化,CS:GO,Valorant,Apex,Battle Royale",深度
