知识名,知识内容
整体架构设计哲学,Hades的核心设计理念是"数值+体验"双轮驱动。整个游戏由三大核心支柱构成：策略选择系统（局内Build构建）、战斗系统（实时动作战斗）、成长系统（局内外双轨成长）。三者相互咬合、相互强化，缺一不可。设计目标是：让玩家在一次次死亡中获得进步感而非挫败感。
局内成长系统设计,局内成长是单次闯关中的临时强化，死亡后全部清零。主要来源：祝福（Boons）选择、武器变异（Daedalus Hammers）、资源购买（Obols购买恢复和道具）。设计原则：局内成长完全服务于"当局最优解"而非"全局最优解"，强化随机性和策略博弈感，每局游戏都是一次独立的策略推演过程。
局外成长系统设计,局外成长是跨局积累的永久提升，分为三层：①夜之镜（Mirror of Night）：使用黑暗（Darkness）资源解锁永久被动，分正反两面选择，对应不同操作风格偏好；②圣境解锁（Contractor）：用钻石资源改变基地内容，如解锁商店、新房间奖励；③武器形态（Aspects）：使用钛血（Titan Blood）解锁武器变种形态，改变核心攻击逻辑。局外成长不直接影响角色战斗强度，而是改变局内的环境和选项质量。
武器系统架构,游戏共6种基础武器（冥界之刃大剑、永恒之矛长枪、寻心之弓弓箭、混沌之盾盾牌、双子之拳拳套、弩炮），每种武器含4个Aspect形态（含隐藏传说形态），共24种可选武器路线。武器是Build的根基，决定基础攻击维度（普攻/特攻/冲刺/投掷），所有祝福和变异都基于武器动作进行扩展。武器差异化体现在：攻击距离、攻击频率、特殊机制三个维度。
祝福系统（Boon System）架构,祝福是局内核心成长内容，来自10位奥林匹斯诸神：宙斯（闪电/连锁）、波塞冬（击退/波动）、雅典娜（偏转/无敌）、阿瑞斯（诅咒/剑气）、阿芙罗狄忒（魅惑/弱化）、阿尔忒弥斯（暴击）、阿波罗/赫尔墨斯/狄俄尼索斯/波塞冬各有独特机制。每位神可强化：普攻、特攻、冲刺、投掷、受击被动，共5个战斗维度。祝福分5个稀有度：普通→稀有→史诗→英雄→传奇，同一祝福在不同稀有度下数值成倍提升。
双重祝福（Duo Boons）系统,集齐同一神明4个祝福后可解锁双神联合专属祝福，共28种组合（7×4）。双重祝福设计意图：打通不同祝福机制之间的壁垒，创造"斜向"的Build关联效果，是Build深度的终极来源。例如酒神+海神的"欢庆盛宴"可将所有波浪效果转化为紫雾持续伤害，实现机制融合与数值爆炸的同时体验。
地图程序生成系统,Hades采用"房间库+组装规则"的内容分发模式：不是每次完全重新生成地图，而是从预制房间库中抽取并连接。四大生物群落：①Tartarus（地狱）：24个预制房间，每次抽取12个（50%覆盖率）；②Asphodel（阿斯福德）：11个房间抽取6个（54%覆盖率）；③Elysium（极乐世界）：13个房间抽取8个（61%覆盖率）；④Styx神殿：固定布局。覆盖率设计为递增，是因为玩家会越来越多地通关后期关卡，后期需要更多熟悉感以保证操作自信。
房间类型与奖励分类,地图中房间分多种功能类型：①战斗房间：普通战斗+奖励选择（最常见）；②精英房间（Infernal Gate）：更强敌人+更优奖励；③Charon商店：使用Obols购买物品；④Well of Charon：局内单次道具；⑤Boss房间：固定Boss挑战；⑥试炼房间（Boon/Upgrade型奖励）。玩家在每个战斗房间后可看到前方3条路线的奖励图标，进行路线策略选择，即"前进路线策略"是局内重要决策维度。
信物系统（Keepsakes）,信物分为两类：①被动信物（Trinkets，开局携带1枚）：分4类功能，基础数值增益、持续成长型（无伤通过增加属性）、概率影响型（提高特定神祝福出现概率）、特殊功能型（强化特定Build流派）；②主动信物（Companion）：与NPC好感度升满后获得，战斗中可主动使用召唤该NPC发动特殊攻击，每局限用1次。信物可在每个商店前更换，允许动态调整局内成长方向。
惩罚条款系统（Pact of Punishment）,通关一次游戏后解锁的endgame难度递增机制，通过添加各种挑战约束来提升游戏难度。分为多个条款：增加敌人伤害/血量、限制祝福出现频率、减少资源获取、要求无伤通关特定房间等。从组合论角度看，全部条款的开关组合高达2^16=65536种，提供了极为丰富的挑战维度。设计意图是为高技术玩家提供永远更高的挑战峰值，维持长期复玩动力。
