知识类型,描述,来源,标签,质量
数值,【SLG伤害公式体系】SLG通用伤害公式包含四种主流模型：(1)比防公式 DMG=ATK×X/(X+DEF)，X为常数控制防御存在感，特点防御收益递减永不零伤害；(2)完美公式 DMG=ATK×P(霸气)/DEF，霸气为隐藏调控参数；(3)乘法减伤模型 DamageMultiplier=100/(100+Armor)[Armor≥0]或2-100/(100-Armor)[Armor<0]；(4)WOW护甲公式 DamageReduction=Armor/(Armor+K×AttackerLevel)，K≈400~500。SLG推荐比防公式，防御存在感可控且无零伤害风险。,knowledge-base/numerical/damage-formula/,"伤害公式,比防公式,减伤模型,防御收益递减",深度
数值,【SLG多乘区伤害模型】高级SLG战斗可采用多乘区体系：FinalDMG=A(攻击区)×B(暴击期望区)×C(增伤区)×DEF_Mult×RES_Mult。各乘区拟合边际递减。最优分配由拉格朗日乘数法推导。适用于武将技能+装备+科技多层加成的SLG。参考自米哈游体系可迁移至SLG。,knowledge-base/numerical/damage-formula/,"多乘区,暴击期望,拉格朗日,属性分配优化",深度
数值,【SLG防御区与穿透公式】防御区通用公式：DEF_Mult=LvCoeff/(LvCoeff+DEF_Effective)，LvCoeff可按SLG等级体系设计。穿透公式：DEF_Effective=DEF×(1-PEN_Ratio)-PEN_Flat。SLG应用：科技穿透=PEN_Ratio，装备穿透=PEN_Flat。抗性区分段函数。,knowledge-base/numerical/damage-formula/,"防御区,穿透,减防,分段函数,SLG科技",深度
数值,【武将属性体系与成长公式】三国SLG武将属性结构：武力/谋略/防御/速度/破坏/带兵上限/品质。成长公式：Stat_Lv=Base+Growth×Level，Growth范围20~100。定位规律——武将型force_grow=80~100，谋士型strategy_grow=90，均衡型各grow80~88。经验曲线：Lv1-7线性，Lv8-20加速。带兵数Soldiers=100×Lv严格线性。,knowledge-base/numerical/game-data/,"武将属性,成长公式,经验曲线,定位分类",深度
数值,【兵种克制系统】SLG三角克制：步兵→克弓兵(110%)→克骑兵(110%)→克步兵(110%)。9兵种克制矩阵：基础克制110%/被克90%，进阶(Lv3)115%/95%，高级(Lv7)120%/90%。通用公式：harm_ratio=100+Tier_Bonus×Counter_Sign。解锁成本指数递增。,knowledge-base/numerical/game-data/,"兵种克制,三角克制,克制矩阵,兵种解锁",深度
数值,【老兵经验等级系统】Freeciv老兵系统：green→veteran→hardened→elite，升级概率50%→33%→20%→0%，战力因子100%→150%→175%→200%，每升一级约+25%~50%战力。OpenRA经验等级：经验阈值200→400→800→1600（翻倍递增，EXP需求=200×2^(Rank-1)），Rank1伤害减免5%/火力+5%/速度+5%，Rank2各10%，Rank3减免15%/火力+20%/速度+15%，Elite减免25%/火力+30%/速度+20%，buff收益非线性递增。,knowledge-base/numerical/game-data/freeciv/,"老兵系统,经验等级,战力因子,升级概率",实质
数值,【数值设计原则】防御收益递减：SLG/RTS核心原则确保高防不会无敌。数值策划三大忌：(1)连锁反应——调A影响B影响C影响A（耦合循环）；(2)能力模糊——属性边界不清晰；(3)复杂计算——玩家无法理解的公式。抽取原则：抽象优于实例（描述设计规律和公式），维度优于数值（属性维度体系和分类方法），公式优于配表（提炼计算公式含多乘区拆解），量化边界优于枚举（阈值/区间定义类型边界）。,knowledge-base/numerical/balance/,"数值原则,防御递减,策划三大忌,设计原则",实质
数值,【地形移动系统】Freeciv移动碎片系统：move_fragments=6（每个完整移动点分为6个碎片），igter_cost=2（忽略地形移动消耗）。地形参数表——平原移动消耗1/防御0%/产出2/0/0，森林消耗2/防御25%/产出1/1/0，丘陵消耗2/防御50%/产出1/0/0，山地消耗3/防御100%/产出0/1/0，沼泽消耗2/防御15%，沙漠消耗1/防御0%，海洋消耗1/防御0%/产出1/0/2。通用规律：移动消耗=Base_MoveCost×(1-IgTer_Flag)，防御加成加法叠加到防御乘区。战争迷雾视野Range、侦测隐形DetectCloaked、控制区NoZoc标志。,knowledge-base/numerical/game-data/freeciv/,"地形,移动消耗,防御加成,战争迷雾,视野",深度
数值,【四阶兵种与训练系统】4兵种×4阶体系——步兵(民兵/重步/甲士/禁卫)/弓兵(猎手/弩手/连弩/神射)/骑兵(轻骑/枪骑/铁骑/近卫骑)/攻城(攻城锤/投石车/床弩/霹雳车)，战力系数T1=1.0/T2=2.0/T3=4.0/T4=8.0。基础属性Stat_Tn=BaseStat×2^(n-1)：T1 ATK=10/DEF=10/HP=100，T4 ATK=80/DEF=80/HP=800。训练时间Time_Tn=15×4^(n-1)秒(T1=15s/T2=60s/T3=180s/T4=600s)。T(n+1)≈2×T(n)战力但消耗3~4倍。粮食维持费T1=1/h/人/T4=6/h/人。带兵量=5000+(主城Lv×1000)+科技+武将加成，战力系数T1=2/T2=8/T3=24/T4=64。,网络搜索综合,"四阶兵种,训练系统,兵种属性,维持费,带兵上限",深度
数值,"【SLG战斗结算公式汇总】方案A差值型(率土类)：伤害=兵力×ATK×系数×MAX(0.1,(攻方ATK-守方DEF)/攻方ATK+0.5)。方案B比值型(万国觉醒类)：基础伤害=攻方总ATK×(攻方ATK/(攻方ATK+守方DEF))×Random(0.95~1.05)。通用SLG公式：伤害=攻方兵力×单兵ATK×(1+科技%+武将%+联盟%)×克制系数×地形修正×随机(0.9~1.1)/(1+守方DEF×K)，K典型0.005~0.01。回合制流程：每场上限5~30回合，每回合先手(骑>步>弓>械)→技能判定→普攻→伤亡结算→士气判定，结束条件一方归零或达上限。集结递减设计：兵力^x(x=0.7~0.9)/集结上限/分拆优于集中。公平性清单：集结上限/城防+20~50%/随机±5~10%/医院保护/派兵限制/幂次修正。",网络搜索综合,"SLG战斗公式,差值型,比值型,回合制,集结递减,公平性",深度
