知识类型,描述,来源,标签,质量
数值,【经济系统与通胀控制】资源产出公式：ResourceIncome=BaseIncome×(1+EfficiencyBonus)×(1+VIPBonus)×ActivityMultiplier，初始产出wood/iron/stone/grain/gold=1000/时间单位，仓库容量1000000。征兵成本每兵=wood:10+iron:10+grain:10+gold:1。土地资源Lv1-3四资源均衡100×Lv，Lv4+单资源特化。要塞成本线性：Cost=1000×Lv每种资源，Time=100×Lv。令旗上限=20，恢复20分钟/令。通胀控制PID模型：dM/dt=αNβ-γN/(1+κm)，dβ/dt=-kp(π-π*)-ki∫(π-π*)dt，目标通胀2%，kp=0.1/ki=0.05。,knowledge-base/numerical/game-data/,"经济系统,资源产出,通胀控制,PID模型,征兵成本",深度
数值,"【抽卡与概率系统】软保底期望模型：p_i=min(p0+(i-1)×Δ,1)，p0=0.01/Δ=0.02，期望抽数E≈34.62抽。PRD伪随机：初始概率C≈0.08474（对应30%期望触发率），每次未触发下次概率+=C，触发后重置为C，序列8.5%→16.9%→25.4%→33.9%→42.4%。SLG武将抽卡概率设计：probability范围5~24，归一化后最稀有≈3.4%/稀有≈6.8%/中等≈8.2%/较常见≈14.4%/常见≈16.4%。",knowledge-base/numerical/damage-formula/,"抽卡概率,软保底,PRD伪随机,概率设计",深度
数值,"【SLG状态效果与治疗系统】状态效果叠加公式：StatusDamage=BaseStatusDamage×StackCount×Duration×(1+StatusAmplification)，Stack=min(CurrentStack+1,MaxStack)。SLG典型Buff类型：攻击加成(加算/乘算)、防御加成、速度加成、持续伤害(DoT=Base×Tick×Duration)、治疗(FinalHeal=BaseHeal×(1+HealPower)×(1-HealReduction))。行动顺序Speed系统：ActionOrder=BaseSpeed+SpeedBonus-SpeedDebuff，Speed高者先行动，同速随机或按ID。SLG中Buff来源多样：武将技能/科技加成/联盟加成/地形效果/装备附加，叠加规则需明确(同类加算/不同类乘算)。",knowledge-base/numerical/damage-formula/,"Buff,状态效果,治疗,行动顺序,SLG加成",实质
数值,【兰彻斯特战斗模型——SLG核心数学基础】线性律（第一定律）：dA/dt=-β×B，dB/dt=-α×A，胜负判定β×A₀>α×B₀→A方胜，战斗力=单兵效能×兵力数量（线性），适用一对一消耗战。平方律（第二定律，SLG最核心）：胜负判定β×A₀²>α×B₀²→A方胜，剩余兵力A_remaining=√(A₀²-(α/β)×B₀²)，战斗力=单兵效能×兵力数量²，2倍兵力≈4倍战斗力，这是集结威力巨大的数学原因。集结vs分散：5次2000兵分散=20M等效战力，1次10000兵集结=100M，集结是分散的5倍。修正模型（防碾压）：部队战力=单兵战力×(数量)^x(x<1)，推荐x=0.7~0.9。,网络搜索+学术文献,"兰彻斯特,平方律,线性律,集结优势,修正模型",深度
系统,【SLG城建系统】建筑升级时间：升级时间(秒)=BaseTime×GrowthRate^(Lv-1)，GrowthRate典型1.6~2.2，实际时间=升级时间/(1+建造速度加成%)。标准节奏：Lv1→2约60秒/Lv5→6约10分钟/Lv10→11约2小时/Lv15→16约8小时/Lv20→21约24小时/Lv25→26约3天/Lv30约7天。资源消耗=BaseCost×CostGrowth^(Lv-1)，CostGrowth典型1.5~2.0。存储上限=基础容量×1.5^(仓库Lv-1)，基础容量10000。解锁门槛：主城Lv5解锁联盟/Lv8解锁第二行军队列/Lv10解锁T3兵种/Lv15解锁T4+第三队列/Lv20解锁高级战争。城防HP=5000×Lv²，医院容量=1000×Lv^1.5。,网络搜索综合,"城建系统,建筑升级,指数增长,解锁门槛,城防",深度
系统,【战损与医疗系统】伤亡分配：防守方(城内有医院)阵亡10%~30%/重伤70%~90%，进攻方(野外)阵亡30%~60%/重伤40%~70%。关键机制：医院溢出→直接阵亡，医院容量是核心战略资源。医院公式：容量=1000×医院Lv^1.5，治疗时间=基础时间×兵阶系数/(1+治疗速度加成%)，治疗资源=训练资源×50%。设计目的：防守方损失小鼓励守城，攻方损失大提高进攻成本，医院溢出惩罚不慎重玩家。伤兵秒回机制：利用医院容量>单次战斗损失，战斗结束立刻治疗，条件医院容量≥预期伤亡×1.5安全系数。,网络搜索综合,"战损,医疗系统,伤兵,医院容量,秒回机制",深度
玩法,【KvK跨服大战设计】匹配→备战→战斗→结算四阶段。地图中心对称层层推进。积分：击杀(T4=4分)+建筑(要塞=1000分)+王座(持有/h=2000分)。平衡：战力匹配/出战限制/复活冷却。KvK是SLG长期留存核心驱动力。,网络搜索综合+产品拆解,"KvK,跨服大战,积分规则,地图设计,战力匹配",深度
数值,【通用伤害公式体系总览】游戏伤害公式四大流派：(1)加减法型 DMG=ATK-DEF，简单直观但碾压严重，适用于低复杂度游戏；(2)乘除法型(比防) DMG=ATK×X/(X+DEF)，防御收益递减永不零伤害，适用于RPG/SLG/ARPG，X为调控常数；(3)多乘区型 FinalDMG=A攻击区×B暴击区×C增伤区×DEF_Mult×RES_Mult，各区独立边际递减，适用于属性维度丰富的游戏；(4)查表型 DMG=Table[ATK_Tier][DEF_Tier]，完全手控但维护成本高。选型原则：PvP为主选平滑型(2或3)+随机±5~10%；PvE为主可接受更大膨胀；低复杂度选(1)。通用验证标准：同战力对战胜率45~55%，3倍战力差应稳胜但不秒杀。,knowledge-base/numerical/damage-formula/,"伤害公式,比防公式,多乘区,加减法,查表法,选型原则",深度
数值,"【通用防御/抗性计算体系】防御区通用公式：DEF_Mult=LvCoeff/(LvCoeff+DEF_Effective)，LvCoeff控制等级压制强度。三种LvCoeff设计：线性型5×Level+500(原神)、加速型10×Level+200(星穹铁道)、多项式型0.155×Lv²+3.12×Lv+47(绝区零)。有效防御DEF_Effective=DEF×(1-DEF_Reduction)×(1-DEF_Ignored)。穿透分两种：百分比穿透(PEN_Ratio,乘算)和固定穿透(PEN_Flat,减算)。抗性区分段函数：RES<0时RES_Mult=1-RES/2(穿透过量收益减半)，0≤RES≤0.75时RES_Mult=1-RES(线性)，RES>0.75时RES_Mult=1/(4×RES+1)(递减)。",knowledge-base/numerical/damage-formula/,"防御区,抗性区,穿透,减防,LvCoeff,分段函数",深度
数值,"【通用概率系统设计】三种概率模型：(1)纯随机 P(success)=p，简单但体验波动大；(2)PRD伪随机 初始概率C，每次未触发概率+=C，触发后重置，序列更均匀，C≈0.08474对应30%期望触发率；(3)保底机制 软保底p_i=min(p0+(i-1)×Δ,1)，硬保底第N次必出。抽卡设计通用框架：基础概率+软保底递增+硬保底上限+UP机制(指定角色概率提升)+天井系统(累计货币兑换)。掉落表设计：权重池(每个物品权重w，概率=w/Σw)+保底计数器+品质梯度(白>绿>蓝>紫>橙>红，每级概率约÷3~5)。",knowledge-base/numerical/damage-formula/,"概率系统,PRD,伪随机,保底,抽卡,掉落表",深度
