知识类型,描述,来源,标签,质量
数值,【消除类Puzzle难度曲线设计】三消/消除类难度参数：(1)棋盘尺寸——标准9×9，越大越容易（偶然连消）；(2)颜色数量——3色容易/5色困难/6色+极难，颜色越多偶然消除概率越低；(3)障碍物密度——障碍格占棋盘比例，<20%轻松/20-40%适中/40%+困难；(4)目标数值——需消除X个颜色/达到X分，与剩余步数的余量决定通关概率。难度曲线设计：每10关一个难度峰值（增加新机制或大幅提升障碍），随后轻松2-3关作为缓冲。付费关卡设计：卡关率>40%的关卡加入购买步数/道具入口，通关率应在15-25%之间（太容易不买，太难放弃）。,糖果传奇/消消乐关卡数据分析,"难度曲线,消除参数,障碍物密度,卡关率,付费触发",深度
数值,【Puzzle道具与增益数值设计】消除类道具数值参考：(1)横竖消除（4连）——消除1行/列，约价值3-4步的效果；(2)炸弹（L型/T型连消）——消除3×3范围，约价值5-6步；(3)彩球（5连）——消除所有同色，价值最高，约8-10步；(4)组合道具——两个特殊道具碰撞产生超级效果（彩球+炸弹=清除全场），价值远超两者之和。道具使用率分析：玩家自然触发道具的比率应>40%（太低说明生成逻辑有问题）；付费购买道具的转化点应在关卡通过率<30%时显著上升。道具定价：5道具约6元，30道具约30元（单价递减鼓励批量购买）。,糖果传奇/梦幻花园道具系统分析,"道具数值,特殊消除,组合道具,道具定价,付费转化",深度
系统,【Puzzle关卡目标类型设计】消除类关卡目标六类型：(1)收集型——消除特定颜色X个，最常见；(2)清除型——清除所有果冻/障碍物；(3)分数型——在N步内达到目标分数；(4)顺序型——按特定顺序消除；(5)时间型——限时内完成，压迫感强；(6)混合型——同时达成2-3个目标，用于高难度关卡。目标类型轮换节奏：每5-10关引入新目标类型，保持新鲜感；目标类型占比参考：收集型40%/清除型30%/分数型20%/其他10%。目标可视化：实时进度条显示完成百分比，降低认知负担，增加进度感。,消消乐/糖果传奇关卡设计分析,"关卡目标,目标类型,轮换节奏,进度可视化,混合目标",实质
系统,【Puzzle障碍与机制设计——渐进式复杂度】消除类障碍机制渐进引入规律：每5-10关引入一种新障碍，共维持10-15关作为学习期，之后与其他障碍组合产生新挑战。常见障碍类型：冰冻（需消除相邻块解冻）、巧克力（每轮扩散一格，需主动消除）、顽石（只能被特殊道具消除）、多层果冻（需消除多次）。机制叠加原则：单关卡同时出现不超过3种不同障碍类型（认知负担），新手期不超过1种。障碍难度系数：扩散型障碍（巧克力）难度系数最高（主动威胁），静态障碍（顽石）难度系数较低。机制教学：新障碍首次出现时提供1轮演示，无需文字说明。,糖果传奇/梦幻花园机制设计分析,"障碍机制,渐进式复杂度,机制叠加,障碍类型,认知负担",深度
系统,【Puzzle关卡编辑与生成系统】消除类关卡开发工具链：(1)关卡编辑器——可视化棋盘编辑（障碍/颜色/目标），实时预览，内置AI自动测试通关率；(2)难度预测模型——基于关卡参数预测通关率（训练数据：玩家实际通关数据），精度±5%以内；(3)A/B测试——新关卡上线前对5-10%玩家灰度测试，通关率偏离目标则调整。关卡发布节奏：每周更新20-30关（维持活跃度），版本更新100-200关（满足重度玩家）。关卡质量标准：首次尝试通关率目标45-65%，3次尝试内通关率目标80%+，付费通关率目标5-15%（卡关关）。,头部消除游戏工程实践+GameRes关卡设计文章,"关卡编辑,难度预测,A/B测试,关卡质量,发布节奏",深度
玩法,【Puzzle核心循环——消除爽感与进度感设计】消除类核心循环：选择消除位置→触发连锁/特殊效果→获得分数/进度→通关关卡→领取奖励→进入下一关。爽感设计要素：(1)连锁反应——一次消除触发多次连锁（掉落再触发），每次连锁有音效+粒子特效加强；(2)大数字——高分/combo时屏幕中央显示大数字反馈；(3)关卡通关庆祝——3星满星动画，时长1-2秒（短而强烈）。进度感设计：地图推进（每关消灭地图上的障碍），数值进度条，好友排行（社交比较），限时活动进度，多维度保持进度感知。失败设计：清晰展示差了几步/几分，激励再次尝试，失败次数<3次为最佳再试率。,糖果传奇/消消乐核心循环分析,"核心循环,连锁爽感,进度感,失败设计,再试率",深度
玩法,【Puzzle元游戏（Meta）设计——大地图与装饰】消除Puzzle元游戏设计趋势（梦幻花园/梦幻家园模式）：核心消除关卡提供货币→货币用于装饰/建造/剧情推进→新内容解锁新关卡。元游戏价值：(1)增加情感投入（玩家对自己建造的花园有归属感）；(2)提供长期目标（建造完整场景需要数百关）；(3)增加叙事黏性（角色/剧情驱动好奇心）。装饰选择设计：每个节点提供2-3种外观选择（增加个性化感知但不造成选择焦虑）。社交元素：好友花园参观+互赠，增加社交黏性。元游戏留存效果：有元游戏的消除产品30日留存比纯消除高20-40%。,梦幻花园/梦幻家园元游戏设计分析,"元游戏,大地图,装饰系统,剧情驱动,长期目标",深度
策划,【Puzzle商业化设计——体力+道具+通关援助】消除Puzzle商业化三层：(1)体力系统——每条命消耗1颗心，满5颗，每30分钟恢复1颗，可付费立即恢复（约1-3元/次）；(2)道具购买——关卡内道具用金条（游戏内软货币）购买，金条可付费获取；(3)通关援助——关卡失败时购买5步/道具继续（最强变现点，转化率5-15%）。体力设计原则：日均玩法时间30-60分钟，超出需付费，契合碎片化游戏习惯。付费节点优化：在玩家接近通关（剩余1-2步）时显示购买步数，心理锚定效应最强。ARPU参考：头部消除ARPU月均5-15元，付费率3-8%。,糖果传奇/消消乐商业化数据分析,"商业化,体力系统,道具购买,通关援助,付费节点",深度
策划,【Puzzle留存设计——关卡进度与事件驱动】消除Puzzle留存五驱动：(1)关卡进度——永远有新关卡等待，进度不会「终结」（持续更新）；(2)限时活动——限时关卡/特殊地图，错过不再有（FOMO效应）；(3)社交排行——好友关卡进度对比，落后驱动追赶；(4)赛季/活动——每月主题活动，专属奖励；(5)每日任务——每日5分钟可完成的简单目标，奖励进度货币。关卡更新节奏：每周更新20-30关为行业标准，低于此速率玩家容易追完等待。流失预警：连续3天不登录的玩家流失率>60%，建议在第2天触发推送通知+回流奖励。,消除类游戏留存数据报告+移动游戏分析,"留存设计,关卡更新,限时活动,推送策略,流失预警",深度
策划,【Puzzle竞品分析——头部产品对比】消除Puzzle头部产品对比：(1)糖果传奇（Candy Crush）——最长寿消除品，10年+持续运营，关卡数10000+，月活1亿+，成功秘诀：难度曲线精准+持续内容更新；(2)消消乐——国内最大消除，本土化运营强，社交分享设计好；(3)梦幻花园（Gardenscapes）——开创消除+元游戏模式，ARPU远高于纯消除；(4)皇室战争——卡牌+实时对战，消除玩法变体。新项目差异化方向：新消除机制（非三消）、3D视觉、强IP联动、PVP消除。反思：新消除产品难以撼动头部，差异化或垂直领域才有机会。,各产品公开数据+App Annie市场报告,"竞品分析,糖果传奇,梦幻花园,差异化,消除市场",深度
